SNO,CO,NOX
22345,731056366250.1675,721815713679.4113
22346,733837853934.4432,724562030304.5676
22347,734661046570.8171,725374792434.7426
22348,737943999281.7592,728615989486.1193
22349,738819950984.653,729480885025.963
22350,739707964935.0803,730357657901.6123
22351,734858891794.7682,725569949172.288
22352,737064967748.1062,727748146386.0502
22353,734420535690.0074,725137207652.4662
22354,734121543691.4689,724841985586.4846
22355,739147530908.3004,729804360975.7534
22356,729075789273.1931,719860047989.6096
22357,738296022543.7307,728963655607.5933
22358,738784837836.517,729446567469.66
22359,734980265452.5109,725690371407.9464
22360,736367486251.2986,727060046462.7875
22361,734070305471.0671,724791866937.0338
22362,733056995243.3481,723791288283.3041
22363,727342437870.74,718148935287.1165
22364,719725525859.9491,710628133928.933
22365,716892528861.8307,707830845212.96
22366,738609776619.1277,729273514611.6078
22367,739182789656.5698,729839230140.6948
22368,722329033901.7174,713198787423.5234
22369,720416291381.0634,711310184215.8002
22370,720978209589.2379,711865050968.9445
22371,722321570443.8502,713191500376.2139
22372,724479060228.0034,715321796224.5541
22373,745649455064.8124,736224129910.8807
22374,730635844171.3374,721400601075.532
22375,722156249036.904,713028364725.8734
22376,721370993138.8246,712252989554.8573
22377,722631598020.1544,713497597521.4774
22378,721943708546.161,712818354103.3772
22379,716314669024.5209,707260119025.3168
22380,723118403904.3423,713977966694.244
22381,721985685035.0065,712859561594.7775
22382,724315051069.4728,715159559507.5841
22383,724537523242.9243,715379212078.6611
22384,723685378036.0298,714537810709.8745
22385,722509708067.0973,713376988544.0317
22386,723706347774.6978,714558540030.9039
22387,735424731593.1683,726128650863.6205
22388,738392511023.147,729059094756.8129
22389,738020389047.9828,728691900949.1083
22390,739603369504.4117,730255003865.0164
22391,739221939421.0588,729878493449.0493
22392,736984283445.648,727669239203.1769
22393,739486516285.2329,730139880887.0105
22394,739495905941.2009,730149176459.3091
22395,737256111363.6495,727937498669.6365
22396,733693364218.8044,724419756635.6254
22397,734167732744.5414,724888132747.8773
22398,735195789594.9386,725903125599.3198
22399,721945627781.2081,712820506946.8308
22400,739178143433.4983,729835089084.78
22401,739160603256.9227,729817683924.2855
22402,738240127050.4714,728908690856.5798
22403,737023346331.3341,727707362704.6329
22404,736896904998.6467,727582492042.7921
22405,726100919373.9655,716923126810.5992
22406,726218037831.0588,717038755839.1643
22407,735110296330.3638,725818515618.2715
22408,734426012250.1221,725142990680.4371
22409,738886055939.0557,729546617243.1207
22410,739050206785.8385,729708855978.2654
22411,733091389291.2461,723825588770.8055
22412,738200343509.7478,728870034531.8116
22413,737647563333.9415,728324255187.6703
22414,737934559927.178,728607665089.5059
22415,738011266355.0732,728683460246.985
22416,737689958887.5032,728366240994.4181
22417,737639658655.7758,728316495159.3907
22418,737638820860.6318,728315707303.8735
22419,737648708503.8262,728325418492.205
22420,737236126150.6334,727917875596.496
22421,737397096582.8765,728076852147.4128
22422,736931641659.4795,727617218176.1105
22423,737450088759.8009,728128967153.634
22424,731130549747.5212,721889350405.6891
22425,737052535851.383,727736325980.277
22426,732973500597.7428,723708890316.0272
22427,737378826390.5272,728058553871.8483
22428,727720052981.8538,718522131995.1451
22429,726582265315.252,717398778623.9613
22430,732630562923.4441,723370574127.7627
22431,724747439279.598,715587199752.7382
22432,731414327290.8667,722169798058.1589
22433,730486849192.2937,721254094039.9753
22434,730960598417.1881,721721919204.6111
22435,730923646889.8727,721685455919.0343
22436,731649432773.4749,722402136743.8416
22437,731471372501.2675,722226392665.5857
22438,733266700485.7566,723999019729.6301
22439,735062926769.225,725772466962.5522
22440,736452137381.1517,727143975624.631
22441,734840366223.3096,725552484144.1862
22442,734333336640.2853,725051883377.437
22443,733515045600.7377,724243879321.8724
22444,732947392102.092,723683425212.0046
22445,730823310548.9387,721586196097.7435
22446,735755335131.6714,726455827786.5951
22447,735952464170.9998,726650406073.2902
22448,735640443028.8751,726342275503.9989
22449,732092685243.1865,722839136704.1799
22450,733272984749.6344,724004401538.1605
22451,728549218071.3413,719340470713.1201
22452,735463352123.1927,726167111867.795
22453,735607006299.549,726308961391.6858
22454,736283531912.7766,726976916996.0387
22455,736422553839.8224,727114195431.6223
22456,736591460736.65,727281027003.1781
22457,736901200620.037,727586911343.9377
22458,736245867009.2576,726939973835.3998
22459,736460368625.432,727151818286.6902
22460,728616204743.282,719406992118.6898
22461,730341491043.895,721110517546.9988
22462,736174190462.6074,726869435379.7257
22463,736983920803.7786,727668835518.6797
22464,737374782449.8457,728054732818.4677
22465,737449253621.7684,728128209359.844
22466,737124021338.1903,727806976214.4515
22467,736993491380.3738,727678046709.5104
22468,737808000525.6683,728482177871.9106
22469,737199328954.3008,727881142689.0662
22470,737625893988.0017,728302311082.8335
22471,737857081431.7522,728530589519.7223
22472,727655091166.7681,718457625696.9594
22473,725020014460.4702,715855816826.8904
22474,726837649306.8148,717650379671.1506
22475,731605774449.8933,722358149620.6106
22476,731726213131.663,722477106937.646
22477,732703466023.1127,723441954237.6974
22478,727091698672.7189,717901213839.1034
22479,721712355222.7982,712589997531.3784
22480,725384509344.2499,716215961880.4545
22481,727500175937.7125,718304946517.8551
22482,725941549036.7194,716766054188.5887
22483,727161805765.1475,717970805796.1912
22484,724200079157.942,715046377581.6497
22485,731464417830.9335,722218829852.0619
22486,734606275515.9762,725320860872.7623
22487,735119444880.2904,725827499460.222
22488,733818441779.5469,724542947217.885
22489,733415277424.8563,724144882373.59
22490,732844335353.4515,723581138956.6361
22491,738435906113.7062,729101924184.3757
22492,739119704108.3817,729777060929.6318
22493,739278895239.262,729934273079.963
22494,737908849092.9016,728581530192.9706
22495,737250873843.1901,727931855650.4916
22496,738559146398.1603,729223516725.0055
22497,733859456329.8079,724583284778.2917
22498,734113696549.9235,724834306014.71
22499,733750741322.9497,724475964759.1705
22500,734299519206.0355,725017837571.8944
22501,733992082732.2822,724714364099.8969
22502,733719669380.6382,724445416181.8457
22503,735826460612.9634,726525593663.6322
22504,733938840917.9677,724661898195.717
22505,734772171099.7537,725484676246.5204
22506,734716367218.6069,725429549194.5867
22507,733558200717.3068,724286011205.0386
22508,735322127849.5912,726027654859.6562
22509,731463109039.5953,722217518464.0999
22510,728634723339.6475,719424861001.4203
22511,730092507934.8883,720864204339.5969
22512,728799320568.2279,719587416544.3075
22513,733519038080.7888,724247441631.4281
22514,735285967793.1587,725991976847.7515
22515,736488861859.5027,727179627367.1667
22516,735949052444.8967,726646657526.7906
22517,735602154152.7506,726304185649.055
22518,734957355441.4032,725667570460.6385
22519,735359435798.9335,726064506934.6117
22520,735072201064.6387,725780907889.7863
22521,735131959604.2493,725839840367.2368
22522,728735945611.137,719524703778.1698
22523,735269505552.7424,725975654600.9388
22524,735397227943.8485,726101771549.5228
22525,734850742438.4135,725562158170.0732
22526,735213492838.1915,725920386700.527
22527,734422035251.4108,725139080139.3116
22528,734437406794.9854,725154287182.1357
22529,734226267920.785,724945767984.7428
22530,734440075347.2188,725156795360.5054
22531,734580807047.5316,725295788955.7733
22532,731961652603.3097,722709825927.3452
22533,730404699880.6423,721172626594.1423
22534,719745265057.881,710648017717.0458
22535,727220019263.5259,718028179905.7936
22536,725308032677.5593,716140451811.0284
22537,734037727377.9108,724759647157.8229
22538,734470422115.9419,725186805180.5259
22539,734163450975.3367,724883687899.6903
22540,734328183730.8964,725046325385.4207
22541,734081239377.4558,724802589153.7183
22542,726755905784.3385,717569958500.1093
22543,722260421197.4233,713131354296.6503
22544,721848526928.9926,712724618335.1171
22545,722130168444.2727,713002539782.4506
22546,723140202324.2732,713999752724.1938
22547,733178779693.9272,723911309455.377
22548,733107364953.8146,723840824040.3829
22549,730357256204.8162,721125514660.3838
22550,730573666843.6821,721339248984.4489
22551,729624807784.173,720402408930.2386
22552,728327156201.6959,719121114550.1394
22553,727338746766.0941,718145162487.5857
22554,727356702174.868,718162845375.7476
22555,727064791061.7362,717874603615.624
22556,725418817816.9697,716249428743.3501
22557,725022263124.8909,715857868680.2887
22558,726564682365.8055,717380759299.2788
22559,724965155616.1461,715801490106.728
22560,732087848292.0369,722834101494.7369
22561,732320309458.5233,723063666523.8749
22562,731081876217.6416,721840872297.1042
22563,720798644236.8204,711687819522.6642
22564,721673512634.8268,712551610531.551
22565,721749228193.5669,712626305817.8892
22566,721637308576.1163,712515778112.522
22567,721891277617.8228,712766567207.8911
22568,721913082832.9458,712788106425.575
22569,728950352757.8928,719736325963.1083
22570,734470150377.3827,725186312629.0149
22571,734201955141.3129,724921518088.026
22572,733407854027.3282,724137440303.1089
22573,734118570210.7812,724839160410.7654
22574,733818242991.4214,724542624880.0686
22575,733428749272.3933,724158073639.1267
22576,733595116837.5807,724322353844.4657
22577,733808556708.9127,724533052879.5286
22578,733918254246.7937,724641320593.0349
22579,730302855796.8671,721071698155.987
22580,729132197154.5377,719915878341.7683
22581,728278507066.1508,719073011985.7505
22582,728456826871.4652,719249090971.578
22583,726669997940.3889,717484862187.5088
22584,731414549218.789,722169370638.3308
22585,735004320806.0323,725713708050.8297
22586,730973368404.1199,721733819053.7518
22587,731178631711.8158,721936497406.5393
22588,723189154831.2651,714048109394.7784
22589,723049973449.5725,713910684623.4257
22590,723123975128.9735,713983741275.0024
22591,723424886660.4669,714280828511.5981
22592,732451170824.21,723192887463.161
22593,732337386993.1741,723080535968.3123
22594,731714090900.6016,722465096536.7584
22595,731666928839.7122,722418522478.3887
22596,733744144204.3113,724469460237.611
22597,734954078579.6224,725664097311.8635
22598,734916874649.9489,725627393772.1045
22599,735015635683.0002,725724922215.9937
22600,734979461807.7783,725689219858.9977
22601,739952274635.9028,730599089496.6394
22602,739811877695.782,730460535938.6885
22603,739736243900.4492,730385872510.5481
22604,740465360082.0024,731105677999.7369
22605,741371915294.7892,732000782608.5674
22606,741686828405.2883,732311746648.1594
22607,741442961675.0792,732070969547.1667
22608,742158328455.1349,732777278818.4236
22609,735351440730.2593,726056556941.66
22610,735480251528.4683,726183670195.6624
22611,733633665592.8064,724360422459.9999
22612,733389446958.4738,724119303863.0256
22613,733180763689.0077,723913282294.8728
22614,731960320730.8553,722708264148.4343
22615,735039201996.8893,725748186810.0264
22616,734808665914.6177,725520635163.9292
22617,735510463614.4016,726213516744.9191
22618,732164859416.0697,722910109005.5494
22619,726848300580.6981,717660839139.3037
22620,728318233247.8864,719112309914.0802
22621,729593682264.6375,720371643751.3528
22622,735917343571.2523,726615220474.604
22623,741671413410.357,732296442144.863
22624,743886827543.9136,734483640462.3004
22625,747426184599.3549,737978027428.1637
22626,747369804512.6558,737922389016.4105
22627,747251280047.6178,737805418445.5375
22628,747269416979.0009,737823343331.3013
22629,747704548259.4797,738252940637.4819
22630,747633874154.7999,738183030836.2568
22631,747884005237.2666,738430007741.0602
22632,747881405534.5883,738427364743.5411
22633,736827661495.2551,727513955640.9701
22634,736202701768.8433,726896906100.5524
22635,737738658807.1414,728413442875.6615
22636,737994807975.241,728666368214.1519
22637,739137100657.7596,729794218550.8795
22638,738532028816.1053,729196818763.8635
22639,732736184993.3578,723474321965.7616
22640,732101696343.8467,722847851825.0487
22641,733062797361.3633,723796817771.3187
22642,741219111888.9365,731849956632.883
22643,744568907205.8152,735157358345.6869
22644,744198540415.4814,734791676492.5402
22645,744042212231.817,734637350184.6392
22646,744170383606.6869,734763907580.3591
22647,744030475323.0559,734625794195.291
22648,743137306481.7429,733743896594.0402
22649,742271432026.3073,732888942693.6128
22650,746888783255.8464,737447518625.6228
22651,748792595815.352,739327074640.2402
22652,748522420921.2781,739060231624.9573
22653,748613529846.0579,739150159605.644
22654,740361003946.2181,731002523613.4851
22655,737627399777.9664,728303608139.7938
22656,736600160969.6661,727289392857.4862
22657,738015776822.1688,728687112806.0868
22658,738297667132.392,728965459703.826
22659,739455185980.1458,730108367879.1409
22660,738876520384.8018,729537067080.1116
22661,732294979866.2017,723038724910.5232
22662,734365101228.0486,725082604026.881
22663,739810052983.2593,730458665815.6835
22664,743004494463.7675,733612652752.5837
22665,739697873131.2642,730347859484.6317
22666,739707341947.5186,730357190030.8583
22667,742697246754.2026,733309379178.0374
22668,742832639781.4258,733443191858.7509
22669,742493448215.9377,733108294321.886
22670,742142830280.0033,732762163731.058
22671,741978048143.6544,732599513532.5967
22672,741790909655.0879,732414724888.7257
22673,742059080575.012,732679409176.9517
22674,741503621004.5535,732131011920.0541
22675,743257396405.592,733862334441.0536
22676,747586408878.0192,738136474388.1354
22677,747017098886.5936,737574298048.7928
22678,747093762583.2052,737650043109.4248
22679,746910544377.4575,737469122798.6278
22680,746842957264.6691,737402369131.7288
22681,742936166382.4762,733545285028.26
22682,724291197433.9731,715136222267.7938
22683,723484800539.1251,714340017575.1986
22684,722365920747.1764,713235271265.598
22685,720007721614.2175,710906811823.7507
22686,726236260846.182,717056785350.973
22687,740210760887.6326,730854555536.163
22688,741064683765.1521,731697734159.917
22689,739833547978.3014,730482231715.5925
22690,740491655135.6559,731132080036.3591
22691,740147242684.1766,730792092101.1425
22692,739522495708.6469,730175351804.2716
22693,738785746796.2118,729447869440.0494
22694,739345765079.7649,730000740984.7352
22695,741922148932.1195,732544271312.9806
22696,745286089539.2062,735865409118.9279
22697,745533744119.4503,736109857925.7626
22698,745770251138.5145,736343395623.7241
22699,745545773399.2911,736121728955.1781
22700,745771598756.4507,736344748906.8218
22701,738284183471.2765,728952273387.9595
22702,738834133734.9481,729495431248.4971
22703,719727875765.4982,710630640630.39
22704,717036239302.0183,707973029104.3853
22705,717575120009.7506,708505117556.9658
22706,737036853320.2056,727720763682.8115
22707,733030957700.2625,723765713629.1185
22708,729144714837.3525,719928655639.4264
22709,742879259053.1368,733489167333.1973
22710,745833704655.322,736406152091.1403
22711,745652079183.7744,736226791871.5693
22712,745920396130.0958,736491798156.4226
22713,745757603838.148,736331043900.0618
22714,745888756204.4642,736460567242.7998
22715,745676205589.8489,736250632175.7582
22716,745960271250.7705,736531039440.0176
22717,746043384850.2992,736612868014.448
22718,746192002195.0585,736759621519.9149
22719,745985096911.2025,736555310060.7911
22720,746176138105.0458,736743948458.6372
22721,745922128362.0914,736493319467.95
22722,746202053467.07,736769733711.3069
22723,740028939581.5404,730675065866.1406
22724,739381406827.9861,730035792109.4558
22725,740054489350.0173,730700422734.8616
22726,740772663451.5837,731409475414.8121
22727,740629508364.1779,731268069071.8538
22728,740341784294.9072,730984015690.9365
22729,740332694524.0283,730975068092.7283
22730,740470343463.4181,731110958641.978
22731,741045544294.4503,731678877268.3717
22732,740699799883.5371,731337545035.8197
22733,746171983217.1876,736740140748.9261
22734,746664563070.9183,737226553904.552
22735,746747098656.2516,737307975904.4929
22736,746588703979.3383,737151668865.0417
22737,746387463471.1311,736952987555.0487
22738,746534875563.7805,737098417225.3016
22739,746417771332.9761,736982755655.2095
22740,746584227999.5254,737147042431.7812
22741,746534177930.9855,737097458134.0461
22742,746586473254.6091,737149026734.5945
22743,745441800555.4023,736018960274.2081
22744,738760144164.2703,729422107182.2108
22745,740278345792.4672,730921081813.539
22746,740464148547.9523,731104501174.1185
22747,737771636280.1783,728445967271.777
22748,739457476342.0359,730110590881.995
22749,737430792018.8125,728109612187.0372
22750,737282317308.4095,727962943860.8417
22751,737332336787.2612,728012290180.3345
22752,737106790875.0021,727789612498.8934
22753,737056700433.5596,727740143725.9451
22754,741809960232.3773,732433243575.9133
22755,737498809302.5265,728176624783.9548
22756,736981378676.6946,727665738928.888
22757,737088045240.9683,727771113453.1263
22758,737827917725.3275,728501957067.7034
22759,737810709194.5696,728485132859.0339
22760,737945878569.8568,728618738387.5443
22761,736891319478.3024,727577447209.5421
22762,737230199851.375,727911935915.6722
22763,737006637733.3324,727691170541.922
22764,736843068857.979,727529700021.9326
22765,736793201334.3918,727480477640.1785
22766,736841229062.5479,727527873923.5249
22767,737059953611.7393,727743734593.3904
22768,736734314107.5127,727422290160.6254
22769,736752260732.3698,727439980007.9624
22770,736477940659.6909,727169067905.2338
22771,737056132429.376,727739832894.4133
22772,736924716469.4072,727610024892.4026
22773,736863011720.2439,727549078034.46
22774,736860240755.1271,727546319247.0619
22775,736152853241.138,726847840224.7426
22776,736084433562.9174,726780268881.2941
22777,736379690399.7432,727071749960.3309
22778,739901094475.9359,730548579673.9272
22779,737429092561.0071,728107861485.2001
22780,737158979072.0435,727841175366.3329
22781,736699900124.1575,727387927938.8469
22782,736978158524.5287,727662729385.139
22783,736784205287.563,727471284074.475
22784,736879403698.5282,727565311262.278
22785,736292529772.4213,726985804037.0321
22786,736731155787.5354,727418875254.7261
22787,736903653133.3438,727589197669.0867
22788,736245088651.9957,726938959149.0789
22789,732936260852.2783,723672025423.2344
22790,729952656472.5554,720726171347.045
22791,729113085899.8052,719897205886.4802
22792,731132422817.4055,721891005455.5884
22793,732701796268.4545,723440530243.053
22794,736747083894.5299,727434615686.5403
22795,736533851972.266,727224010159.0682
22796,733801106314.3802,724525799284.5305
22797,733919053019.5662,724642269085.6116
22798,733927775467.6177,724650948130.5205
22799,733719751984.1499,724445516605.7515
22800,734936274172.9259,725646624444.7152
22801,735092665775.698,725801010982.4634
22802,735210718177.5764,725917538759.6631
22803,735488395580.0302,726191690709.1277
22804,737271956907.0748,727952650699.877
22805,738936350951.9902,729595964476.543
22806,738550516739.26,729215039518.0181
22807,738343485105.916,729010699433.2834
22808,738284158626.3949,728952242518.8705
22809,738737730252.8428,729400218945.8718
22810,738622027882.5631,729286059554.225
22811,738971221494.2848,729630867735.6724
22812,739245380874.6322,729901511391.3242
22813,739403228851.545,730057244774.5151
22814,739315569418.7223,729970574308.7745
22815,739495007531.233,730147632468.6743
22816,739411804259.5216,730065450315.1984
22817,739649807025.7649,730300445332.7527
22818,739511285526.5918,730163654964.8179
22819,739489880586.746,730142493809.7048
22820,738716091400.1267,729378380607.1011
22821,739624670097.5288,730275441733.3755
22822,722581185304.2668,713447427135.5413
22823,734445546776.3424,725161859457.5431
22824,736478030391.9338,727168619316.4844
22825,737410443949.4235,728089225962.0916
22826,739249124718.7495,729904620261.4886
22827,739717700644.8799,730367258868.3987
22828,739721534398.7012,730371062160.444
22829,733775375064.8289,724500221218.2738
22830,740063503864.5198,730708890325.3633
22831,733825233476.0692,724549818053.5105
22832,739681893482.0375,730332578830.2722
22833,726370391128.9803,717189637938.7424
22834,732141578713.2224,722887683868.1017
22835,726292733540.4537,717112837172.0276
22836,728853034813.1558,719640718592.9233
22837,733712409693.5906,724438554860.0504
22838,731131547861.353,721890304713.4385
22839,739457613766.331,730110930664.469
22840,739909661816.5962,730557181172.7169
22841,739864336884.1351,730512363699.869
22842,722003301288.594,712877209190.7839
22843,723049268767.246,713909834100.6357
22844,739964643676.6951,730611255513.7996
22845,740597479713.0948,731236084345.4467
22846,741063267278.0846,731695939651.3376
22847,740831708499.625,731467291499.3585
22848,741391311131.3153,732019897548.1068
22849,741349905876.2026,731979270645.8367
22850,741917807088.7621,732540160029.6082
22851,741838788786.9508,732462236522.7375
22852,740850449843.0706,731486477691.3922
22853,741024977198.9392,731658863886.944
22854,740670525193.4152,731308894180.6854
22855,740670236882.3308,731308565993.5483
22856,740861972628.1594,731497835752.5942
22857,741083370293.6871,731716311926.7836
22858,740983236050.6718,731617243481.4309
22859,741477142122.1119,732104822690.4757
22860,741107411853.447,731739735579.7203
22861,741009480716.0994,731642971789.4906
22862,741258076587.0181,731888280065.0424
22863,740679236045.7723,731316712932.1638
22864,740632133860.929,731270185330.5757
22865,740915727984.3027,731550191015.2366
22866,740891142161.3873,731525924988.8865
22867,740724613153.7832,731361518432.5253
22868,741136334125.4698,731768045386.975
22869,741087677771.5115,731720008288.5146
22870,741855643521.9694,732478265690.6199
22871,742135140924.0908,732754239916.9662
22872,741901780263.0797,732523847441.9363
22873,741622473281.3761,732248079597.1854
22874,741490317012.6404,732117613825.003
22875,741193706593.2871,731824802038.6488
22876,740558504485.7993,731197680017.8163
22877,740605222855.7833,731243824689.1533
22878,740509541601.6764,731149330567.204
22879,740655044921.2961,731292961974.3792
22880,740326415525.0449,730968457129.6997
22881,740200865770.334,730844477405.0115
22882,739410530969.0654,730064136466.4425
22883,739244584609.832,729900286589.0736
22884,739970283730.5474,730616801241.7286
22885,739998876055.2819,730645036335.8207
22886,739674164284.086,730324423927.7335
22887,739396376576.0803,730050141195.6328
22888,744261723923.283,734853461306.6575
22889,744441168830.5916,735030701382.5917
22890,744841130879.6989,735425722035.3436
22891,744379466229.438,734969827791.794
22892,739772002412.8591,730421039237.4056
22893,739560700534.9655,730212426108.1045
22894,740167545902.9119,730811666722.569
22895,740142601464.1128,730787116778.7029
22896,740260059117.8022,730903235186.8706
22897,739899907589.5851,730547803949.93
22898,739619527227.892,730271051306.1467
22899,739439282784.447,730093125462.5608
22900,739042869066.5459,729701743131.0637
22901,739311843080.9083,729967366970.1602
22902,739231546566.8137,729888118308.0786
22903,738733675699.8679,729396637319.545
22904,739285274823.5012,729941175387.2042
22905,738875659476.9647,729536705766.6692
22906,738528392634.3995,729193750954.9434
22907,738389594799.1659,729056575253.6187
22908,738646092248.5396,729309776806.7256
22909,739032544564.5718,729691242313.7662
22910,738864349606.8013,729525100202.8491
22911,738670878274.1696,729334068827.859
22912,739166415114.0037,729823302034.1515
22913,739086114322.319,729744067454.6829
22914,739067598013.4181,729725752104.2205
22915,738883126089.2767,729543582878.8394
22916,739066100298.6545,729724193171.4447
22917,738700777706.8826,729363472879.434
22918,738637852786.1737,729301241692.1678
22919,739111727693.346,729769133773.5144
22920,739386791523.5939,730040735271.617
22921,739115307956.4758,729772744414.3341
22922,738915055470.4915,729575108854.1339
22923,738528351623.4039,729193418237.537
22924,738456516957.6836,729122556100.2368
22925,738296618146.1777,728964674377.4386
22926,738360351756.0538,729027665258.9491
22927,738043545917.4751,728714864961.7877
22928,737883447647.778,728556716937.2246
22929,738303770205.7367,728971584100.8804
22930,737903731643.6031,728576539023.0187
22931,737376166080.7107,728055612159.9132
22932,737409256842.4866,728088251483.4716
22933,737385300306.2048,728064581185.6189
22934,737268268743.6853,727949001210.2021
22935,737012973565.8442,727696922646.5728
